ticker,classe_papel,primeiro_pregao,ultimo_pregao,n_pregoes,emissor_isin,isin,nome_no_pregao
TBLE3,acao,2005-01-03,2016-07-20,2856,TBLE,BRTBLEACNOR2,TRACTEBEL
MLFT4,acao,2005-01-04,2018-01-31,2702,MLFT,BRMLFTACNPR3,LA FONTE PAR
RNAR3,acao,2005-02-28,2015-12-17,2637,RNAR,BRRNARACNOR6,RENAR
BTTL4,acao,2007-08-30,2018-12-10,2282,BTTL,BRBTTLACNPR7,BATTISTELLA
INET3,acao,2005-01-03,2015-10-13,2178,INET,BRINETACNOR3,INEPAR TEL
SFSA4,acao,2007-05-02,2016-11-18,2071,SFSA,BRSFSAACNPR5,SOFISA
BISA3,acao,2006-10-23,2015-01-02,2022,BISA,BRBISAACNOR8,BRASCAN RES
BRIN3,acao,2010-11-01,2018-12-21,2010,BRIN,BRBRINACNOR3,BR INSURANCE
BICB4,acao,2007-10-29,2015-10-16,1968,BICB,BRBICBACNPR7,BICBANCO
BTTL3,acao,2007-08-30,2021-06-10,1866,BTTL,BRBTTLACNOR0,BATTISTELLA
ALLL3,acao,2005-01-28,2015-03-31,1852,ALLL,BRALLLACNOR6,ALL AMER LAT
OHLB3,acao,2005-07-15,2012-12-21,1841,OHLB,BROHLBACNOR6,OHL BRASIL
TMAR5,acao,2005-01-03,2012-04-05,1797,TMAR,BRTMARACNPA7,TELEMAR N L
BRTO4,acao,2005-01-03,2012-04-05,1797,BRTO,BRBRTOACNPR5,BRASIL TELEC
FFTL4,acao,2005-01-03,2011-12-23,1727,FFTL,BRFFTLACNPR7,FOSFERTIL
KROT3,acao,2012-03-14,2019-10-10,1715,KROT,BRKROTACNOR9,KROTON
TLPP3,acao,2005-01-03,2011-10-05,1673,TLPP,BRTLPPACNOR8,TELESP
TLPP4,acao,2005-01-03,2011-10-05,1673,TLPP,BRTLPPACNPR5,TELESP
BPNM4,acao,2007-11-19,2014-08-04,1656,BPNM,BRBPNMACNPR6,PANAMERICANO
TCSL3,acao,2005-01-03,2011-08-02,1628,TCSL,BRTCSLACNOR0,TIM PART S/A
TCSL4,acao,2005-01-03,2011-08-02,1628,TCSL,BRTCSLACNPR7,TIM PART S/A
SGAS4,acao,2005-01-04,2017-06-23,1594,SGAS,BRSGASACNPR3,SUPERGASBRAS
TIBR5,acao,2005-01-05,2015-08-24,1572,TIBR,BRTIBRACNPA3,MILLENNIUM
